X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.9828712850095,38.9004182014603,30218168,38.900413,-76.982872,Bladensburg Rd & Benning Rd NE,classic,97,active,2022/04/16 04:44:45+00,1,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0003480801143,38.8899607410718,30218169,38.889955,-77.000349,4th & East Capitol St NE,classic,98,active,2022/04/16 04:44:44+00,5,0,6,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9883603619878,38.8904646309254,30218170,38.890461,-76.988355,Lincoln Park / 13th & East Capitol St NE ,classic,99,active,2022/04/16 04:44:45+00,3,0,18,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9599014711346,38.8692075294367,30218171,38.8692,-76.9599,Branch & Pennsylvania Ave SE,classic,100,active,2022/04/16 04:19:41+00,5,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9876334240151,38.8948426251047,30218172,38.894832,-76.987633,13th & D St NE,classic,101,active,2022/04/16 04:44:45+00,25,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0382496497463,38.9155562276347,30218173,38.915544,-77.038252,New Hampshire Ave & T St NW,classic,102,active,2022/04/16 04:17:01+00,7,0,13,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0278768233375,38.8983712322574,30218174,38.898364,-77.027869,Metro Center / 12th & G St NW,classic,103,active,2022/04/16 04:29:42+00,20,0,18,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,39,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0316216957936,38.8945237060201,30218175,38.894514,-77.031617,14th & D St NW / Ronald Reagan Building,classic,104,active,2022/04/16 04:49:47+00,15,1,8,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0221932167093,38.8972914466804,30218176,38.897283,-77.022191,7th & F St NW / National Portrait Gallery,classic,105,active,2022/04/16 04:44:47+00,18,0,6,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0383231179122,38.9020707084927,30218177,38.902061,-77.038322,17th & K St NW / Farragut Square,classic,106,active,2022/04/16 05:49:35+00,0,0,34,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,35,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
